"","symbol","date","open","high","low","close","volume","adjusted","exg_rate"
"205","S&P_500",2020-10-22,3438.5,3460.530029,3415.340088,3453.48999,4172060000,3453.48999,1
"206","S&P_500",2020-10-23,3464.899902,3466.459961,3440.449951,3465.389893,3651600000,3465.389893,1
"207","S&P_500",2020-10-26,3441.419922,3441.419922,3364.860107,3400.969971,4002210000,3400.969971,1
"208","S&P_500",2020-10-27,3403.149902,3409.51001,3388.709961,3390.679932,3962400000,3390.679932,1
"209","S&P_500",2020-10-28,3342.47998,3342.47998,3268.889893,3271.030029,5139970000,3271.030029,1
"210","S&P_500",2020-10-29,3277.169922,3341.050049,3259.820068,3310.110107,4911860000,3310.110107,1
"211","S&P_500",2020-10-30,3293.590088,3304.929932,3233.939941,3269.959961,4843930000,3269.959961,1
"212","S&P_500",2020-11-02,3296.199951,3330.139893,3279.73999,3310.23999,4314690000,3310.23999,1
"213","S&P_500",2020-11-03,3336.25,3389.48999,3336.25,3369.159912,4241380000,3369.159912,1
"214","S&P_500",2020-11-04,3406.459961,3486.25,3405.169922,3443.439941,4790400000,3443.439941,1
"215","S&P_500",2020-11-05,3485.73999,3529.050049,3485.73999,3510.449951,4858150000,3510.449951,1
"216","S&P_500",2020-11-06,3508.340088,3521.580078,3484.340088,3509.439941,4842460000,3509.439941,1
"217","S&P_500",2020-11-09,3583.040039,3645.98999,3547.47998,3550.5,8570510000,3550.5,1
"218","S&P_500",2020-11-10,3543.26001,3557.219971,3511.909912,3545.530029,6037470000,3545.530029,1
"219","S&P_500",2020-11-11,3563.219971,3581.159912,3557,3572.659912,4635560000,3572.659912,1
"220","S&P_500",2020-11-12,3562.669922,3569.02002,3518.580078,3537.01001,4909660000,3537.01001,1
"221","S&P_500",2020-11-13,3552.570068,3593.659912,3552.570068,3585.149902,4719580000,3585.149902,1
"222","S&P_500",2020-11-16,3600.159912,3628.51001,3600.159912,3626.909912,5295510000,3626.909912,1
"223","S&P_500",2020-11-17,3610.310059,3623.110107,3588.679932,3609.530029,4812180000,3609.530029,1
"224","S&P_500",2020-11-18,3612.090088,3619.090088,3567.330078,3567.790039,5284810000,3567.790039,1
"225","S&P_500",2020-11-19,3559.409912,3585.219971,3543.840088,3581.870117,4363370000,3581.870117,1
"226","S&P_500",2020-11-20,3579.310059,3581.22998,3556.850098,3557.540039,4236370000,3557.540039,1
"227","S&P_500",2020-11-23,3566.820068,3589.810059,3552.77002,3577.590088,5057550000,3577.590088,1
"228","S&P_500",2020-11-24,3594.52002,3642.310059,3594.52002,3635.409912,6280290000,3635.409912,1
"229","S&P_500",2020-11-25,3635.5,3635.5,3617.76001,3629.649902,4910440000,3629.649902,1
"230","S&P_500",2020-11-27,3638.550049,3644.310059,3629.330078,3638.350098,2778390000,3638.350098,1
"231","S&P_500",2020-11-30,3634.179932,3634.179932,3594.389893,3621.629883,6308410000,3621.629883,1
"232","S&P_500",2020-12-01,3645.870117,3678.449951,3645.870117,3662.449951,5418480000,3662.449951,1
"233","S&P_500",2020-12-02,3653.780029,3670.959961,3644.840088,3669.01001,5041250000,3669.01001,1
"234","S&P_500",2020-12-03,3668.280029,3682.72998,3657.169922,3666.719971,5065340000,3666.719971,1
"235","S&P_500",2020-12-04,3670.939941,3699.199951,3670.939941,3699.120117,5099620000,3699.120117,1
"236","S&P_500",2020-12-07,3694.72998,3697.409912,3678.879883,3691.959961,4804500000,3691.959961,1
"237","S&P_500",2020-12-08,3683.050049,3708.449951,3678.830078,3702.25,4584390000,3702.25,1
